楼盘名称,楼盘位置,单价,总价,面积
通州富力中心B座,通州区,,,170㎡
中宏新界,北京周边,,,1-4室51-155㎡
望京国际中心,朝阳区,,,
京东CBD,北京周边,,,47-71㎡
天恒世界集壹号街区,大兴区,,,
MAX天筠中心,顺义区,,,1912-2666㎡
公园壹号,平谷区,,,
CDD创意港嘉悦广场,大兴区,,,
数字工场,大兴区,12500,总价待定,
鹭峯国际,顺义区,13500,总价待定,
尚城华都,北京周边,,,1-3室43-90㎡
东亚尚品台湖,通州区,,,
北京城建徜徉墅,房山区,35000,总价待定,
旭辉满庭春MOMA,平谷区,11000,总价待定,2-3室89㎡
建投御湖园,固安县,14500,总价待定,1-4室63-136㎡
隆基泰和香邑澜湾,北戴河区,9500,38-248万,1-3室40-138㎡
金海岸1号,招远市,6800,26-50万,1-2室39-74㎡
世茂•怒放海（文昌）,文昌市,11000,42-163万,1-2室39-109㎡
和平翰林公馆,和平区,60000,414-864万,3室69-144㎡
亢龙·朗峯,莲池区,22000,247-254万,2室95-98㎡
天佑爱上岛,三河市,7100,总价待定,1-3室51-93㎡
尚品国际,固安县,15000,134-260万,1-3室56-137㎡
愉景城,静海区,17000,总价待定,2-4室90-115㎡
天津宝龙国际中心,滨海新区,17000,90-1697万,1-2室53-157㎡
龙光阳光悦府,澄海区,9500,101-133万,3室107-140㎡
领荟湾,龙湖区,,,1室61㎡
世茂·一渡青青小镇,涞水县,,,1室90㎡
金科天湖,静海区,17500,150-187万,3-4室100-142㎡
承德铂悦山,双桥区,8500,46万起,1室48㎡
中南拉唯那,开平区,9000,43万起,1室48㎡
中建悦府,河东区,40000,454-536万,3室106-125㎡
星光大道,海港区,12000,80-155万,1-3室67-137㎡
爱晚大爱城,香河县,12000,总价待定,1-3室65-112㎡
绿地京21城,香河县,12000,总价待定,1室170-203㎡
禹洲·五经山水大观,惠城区,11500,127-156万,3-4室116-136㎡
金海岸1号,招远市,6800,26-50万,1-2室39-74㎡
隆基泰和香邑澜湾,北戴河区,9500,38-248万,1-3室40-138㎡
龙光阳光悦府,澄海区,9500,101-133万,3室107-140㎡
领荟湾,龙湖区,,,1室61㎡
中南拉唯那,开平区,9000,43万起,1室48㎡
中建悦府,河东区,40000,454-536万,3室106-125㎡
天津宝龙国际中心,滨海新区,17000,90-1697万,1-2室53-157㎡
承德铂悦山,双桥区,8500,46万起,1室48㎡
天翔华利苑,仲恺区,8600,71-93万,2-3室89-118㎡
湖畔家园,滨海新区,7800,208万起,3-6室102-245㎡
首创喜悦汇,津南区,12000,74-92万,1室62-77㎡
合生愉景湾,惠城区,7000,154万起,6室75-336㎡
首创悦山郡,津南区,23000,190-224万,2-3室83-133㎡
青朗园,西青区,18000,105-189万,2-5室58-105㎡
富力又一城,津南区,14000,284-338万,3-4室142-169㎡
大学里·峰尚,广阳区,15000,92万起,1室40㎡
花语·溪岸,怀安县,4800,总价待定,2-3室87-135㎡
大运河智慧街区,香河县,7000,总价待定,
金丰能源中心,丰台区,42000,总价待定,
北京庄园,顺义区,,,
林语城,北京周边,,,3室85-139㎡
福景苑官邸,朝阳区,48000,总价待定,1-2室119-178㎡
山水文园五期,朝阳区,,,
专家国际花园,海淀区,41473,总价待定,4室290-319㎡
诺德中心,丰台区,48500,242万起,1室50㎡
鑫城簠街,房山区,,,1室90-3844㎡
马来西亚-富力公主湾-北京站,海淀区,,,1-2室41-74㎡
海南-绿城蓝湾小镇-北京站,海淀区,,,2室85㎡
望京金茂府,朝阳区,65407,总价待定,
澳景园,顺义区,33000,总价待定,
天润香墅湾1号,平谷区,37000,330-2831万,2-4室100-858㎡
合生世界村,通州区,12500,总价待定,2室71㎡
华堂高尔夫国际生活区,北京周边,20000,总价待定,413-644㎡
富力飞常HAOS,大兴区,12800,总价待定,2-3室104-197㎡
V7荷塘月色·郦墅,房山区,,,3室153㎡
土桥PLUS,通州区,28000,243万起,2室87㎡
大运河孔雀城壹城郡,北京周边,,,
橡林郡,海淀区,,,2室88-94㎡
MAX科技园（北京合院）,顺义区,,,
